,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
CDS1,0.3,0.19,0.2,0.56,1.54,0.86,1.06,0.36,0.02,0.26,0.18,-0.36,0.61,0.34,0.05,1.06,0.2,0.3,0.11
CDS2,0.44,-0.2,0.12,-0.24,0.13,0.11,-0.1,-0.38,-0.03,0.27,-0.28,0.21,-0.22,-0.13,0.15,-0.17,0.09,0,-0.03
CDV3,-0.41,-0.39,-0.31,-0.01,0.01,-0.25,-0.02,-0.27,-0.29,-0.39,-0.14,-0.01,-0.43,-0.25,-0.3,-0.33,-0.41,-0.32,0.05
CDYL,-0.22,0.28,0.14,-0.15,0.06,0.02,-0.02,-0.35,-0.19,0.19,-0.03,0.52,0.15,0.29,0.26,-0.27,-0.07,-0.13,0.39
CEACAM1,0.09,0.48,0.45,0.29,0.87,0.27,0.06,-0.77,0.21,0.16,-0.03,0.02,0.25,0.53,0.52,0.06,0.83,0.36,0.28
CEBPA,-1.27,-0.63,-1.13,-1.56,-1.55,-1.28,-1.24,-0.78,-1.19,-1.09,-1.14,NA,-2.81,-0.17,NA,-1.34,-2.66,-1.28,-0.1
CEBPB,NA,0.41,NA,NA,-0.05,-1.1,-0.87,NA,NA,NA,NA,0.21,NA,0.16,-0.04,NA,-0.47,-1.1,0.55
CEBPZ,-0.26,-0.12,-0.19,-0.13,-0.01,-0.33,-0.37,-0.34,-0.18,-0.27,-0.34,0.01,-0.5,-0.17,-0.26,-0.11,-0.25,-0.47,-0.11
CEBPZOS,0.97,0.59,-0.45,0.22,-0.26,0.04,0.08,0.71,0.29,0.56,0.23,-1.11,-0.93,0.18,-0.04,0.7,0.36,0.38,-1.05
CELF1,0.16,0.12,-0.1,0.11,0.27,-0.01,-0.01,0.03,0.08,0.2,0.15,0.12,0.02,-0.06,0.17,0.13,0.05,0.14,-0.13
CELF2,-0.9,-0.79,-0.27,-0.24,-0.1,-0.52,-0.53,-1.03,-0.54,-0.83,-0.06,0.61,-0.43,-0.18,-0.33,-0.88,-0.65,-0.05,0.99
CELSR1,0.33,1.06,0.46,0.59,-0.24,0.3,0.61,0.69,0.13,0.28,0.04,-0.43,0.78,1.09,-0.3,0.01,0.15,0.44,0.75
CELSR2,-0.53,NA,0.42,0.42,0.55,0.35,-0.01,0.13,0.03,0.1,-0.25,NA,0.6,NA,NA,0.91,0.13,0.04,NA
CEMIP2,0.26,-0.14,-0.31,-0.1,0.58,-0.67,-0.68,-0.11,0.8,0.39,-0.25,0.26,-0.25,-0.29,-0.21,-0.51,0.17,-0.65,0.04
CEND1,NA,-0.28,1.82,-0.21,-0.66,NA,NA,0.66,NA,NA,1.58,0.31,1.62,-0.26,0.23,0.54,-0.39,NA,0.08
CENPB,-0.08,-0.39,-0.36,-0.26,-0.01,-0.12,0.51,-0.29,0.02,0.12,-0.21,0.25,-0.37,-0.22,-0.14,-0.23,-0.08,-0.3,0.51
CENPC,0.35,-0.13,0.54,0.95,-0.13,0.39,0.36,0.67,0.79,0.59,0.27,0.76,0.3,0.29,0.33,0.54,0.21,0.46,0.88
CENPE,NA,NA,-0.38,-0.63,0.01,0.81,1.01,-0.38,NA,NA,0.25,-0.85,-0.78,NA,-0.72,-0.58,-0.03,1.11,NA
CENPV,0.97,0.92,1.08,0.32,0.83,0.41,0.67,0.71,0.37,1.02,1.24,0.94,1.02,0.27,1.14,0.84,0.78,0.64,0.84
CEP128,NA,-0.18,NA,-0.09,NA,NA,NA,-0.35,NA,NA,NA,-0.26,NA,0.15,-0.47,-0.48,NA,NA,0.5
CEP131,-0.05,0.27,-0.36,-0.44,-0.33,-0.76,-1.39,-0.47,0.38,-0.11,0.09,0.44,-0.2,0.24,0.38,-0.45,-0.68,-1.12,0.59
CEP135,0.04,-0.2,0.19,0.11,0.17,-0.13,0.08,0.23,-0.08,0.27,0.29,0.48,0.17,-0.11,0.14,0.29,0.51,1.08,0.06
CEP152,-0.45,0.01,-0.28,-0.11,-0.14,-0.11,0.08,0,-0.26,-0.63,-0.34,-0.05,-0.02,-0.27,-0.11,-0.47,0.02,0.15,0.2
CEP170,-0.82,-0.21,-0.66,-0.4,0,-0.65,-0.7,-0.71,-0.44,-0.5,-0.33,0.12,-0.71,-0.18,-0.21,-0.94,-0.29,-0.62,0.17
CEP170B,-0.11,0.12,-0.09,-0.05,0.2,0.04,0.29,0,-0.05,-0.24,0.31,0.27,0.27,0.13,0.46,-0.1,-0.01,0.11,0.05
CEP192,0.22,-0.34,0.06,-0.11,0.27,NA,NA,0.03,0.39,0.03,0.13,-0.24,0.39,-0.01,-0.33,-0.05,0.27,NA,0.04
CEP250,-0.09,-0.52,-0.17,-0.39,-0.4,-0.87,-0.65,-0.13,-0.39,-0.31,-0.11,-0.14,-0.42,-0.26,0.03,-0.36,-0.45,-0.65,0.29
CEP350,0.37,4.15,0.05,-0.38,-0.22,0.6,0.85,0.29,0.2,1.78,-0.04,-0.29,0.03,9.26,0.16,0.04,0.16,0.93,NA
CEP41,-0.46,-0.19,-0.12,-0.17,0.39,-0.03,-0.07,-0.36,-0.08,-0.04,0.26,0.02,-0.07,-0.06,0.05,-0.1,-0.32,0.2,0.16
CEP43,0.42,0.19,-0.55,0.13,0.6,0.49,0.84,0.44,0.31,0.41,-0.53,0.26,-0.43,0.07,0.33,0.49,0.78,0.96,0.35
CEP44,0.1,0.1,0.09,-0.12,-0.22,-0.07,-0.16,0.16,-0.35,-0.26,0.05,-0.29,-0.19,0.05,-0.45,-0.08,-0.39,-0.14,-0.15
CEP57,0.69,-0.3,NA,NA,NA,0.07,-0.07,NA,-0.19,0.12,NA,0.48,NA,0.21,0.03,NA,NA,0.08,0.13
CEP68,0.96,-2.11,0.21,0.17,0.42,1.15,1.02,0.24,0.12,0.24,0.46,0.3,0.78,-2.02,-0.18,-0.07,0.26,1.01,-2.2
CEP97,-0.38,0.06,-0.68,0.36,-0.1,-0.41,-0.15,0.15,-0.32,-0.15,0.03,-0.93,-0.31,-0.03,-0.31,0.12,-0.08,-0.33,0.25
CEPT1,0.16,-0.08,-0.08,0.03,0.27,-0.08,0.01,0,-0.22,-0.15,-0.33,-0.23,-0.18,0.2,-0.05,-0.09,-0.05,-0.17,0.03
CERS2,0.83,0.93,0.11,0.63,0.63,0.5,0.36,0.91,0.31,0.38,-0.08,-0.03,0.21,0.78,0.44,0.74,0.73,0.62,0.49
CERS4,NA,0.48,0.1,0.2,0.2,-0.13,0.14,0.3,NA,NA,0.16,0.14,0.88,0.48,-0.02,0.17,-0.03,0.39,-0.09
CERS5,-0.19,-0.06,NA,0.02,0.32,NA,NA,-0.01,-0.4,-0.08,NA,-0.45,NA,-0.44,-0.11,0.01,0.26,NA,0.12
CERS6,NA,0.14,0.07,NA,NA,-0.22,-0.11,NA,NA,NA,-0.81,0.06,-0.56,0.13,-0.15,NA,NA,0.15,0.08
CERT1,0.04,-0.19,-0.04,-0.11,-0.15,-0.04,-0.06,-0.2,0.02,-0.07,0.01,-0.02,-0.01,-0.18,-0.25,-0.16,-0.1,0.01,-0.24
CES1,-0.48,-0.29,-0.59,-0.14,-1.19,-1.42,-0.18,-0.55,-0.44,-0.43,-0.4,0.04,-1.61,-1.44,0.16,-0.59,-0.88,-2.33,0.46
CES2,0.68,0.29,0.8,0.23,-1.04,0.95,0.05,0.57,-0.29,-0.04,-0.37,-1.64,0.53,0.3,-1.27,0.34,0.7,1.11,-2.01
CES3,-1.38,0.18,NA,0.45,NA,1.27,0.28,1.28,-2.01,-1.43,NA,NA,NA,0.21,NA,0.63,NA,0.97,-0.75
CETN2,0.32,0.63,0.23,0.26,0.61,0.39,0.83,0.14,0.23,0.21,0.26,0.59,0.4,0.58,0.38,0.25,0.39,0.25,0.65
CETN3,-0.2,-0.26,-0.41,-0.32,-0.4,-0.32,-0.16,-0.28,-0.27,-0.17,-0.07,0.01,-0.26,-0.22,-0.31,-0.23,-0.32,-0.36,-0.05
CETP,0.78,-0.27,-0.02,-0.22,-0.06,0.48,0.46,0.25,0.57,0.35,0.27,0.28,0.25,-0.2,0.69,-0.33,1.09,-0.04,0.1
CFAP20,-0.34,-0.22,-0.08,-0.16,-0.13,-0.49,-0.17,-0.3,-0.34,0.04,0.09,0.18,-0.25,-0.14,0.02,-0.23,-0.19,-0.37,0.28
CFAP298,-0.21,-0.62,-0.11,0.03,0.08,-0.05,0.1,0.1,-0.12,-0.26,0.09,0.08,-0.3,-0.44,0.05,0.05,-0.06,0.11,-0.25
CFAP36,-0.46,-0.37,-0.61,-0.1,-0.66,-0.33,-0.36,-0.06,-0.43,-0.62,-0.24,-0.47,-0.29,-0.27,-0.38,-0.02,-0.5,-0.35,-0.17
CFAP410,0.26,0.18,-0.18,0.34,0.39,0.38,0.51,0.31,0.62,0.27,0.31,0.14,0.03,0.36,0.11,0.44,-0.09,0.63,0.36
CFAP44,1.36,-0.42,0.72,NA,-0.12,NA,NA,NA,1.57,-0.57,0.12,0.73,0.88,0.04,-0.03,NA,-0.58,NA,0.47
CFAP52,NA,-0.19,-0.3,0.16,-0.01,-0.42,-0.48,-0.73,NA,NA,0.11,NA,-0.57,0.41,NA,-0.44,-0.84,-0.32,0.76
CFB,-0.8,-1.11,-0.78,-0.2,0.27,-0.07,-0.49,-0.47,-0.14,-0.17,0.07,0,-0.11,-0.16,0.64,-0.33,0.72,-0.74,-0.15
CFD,0.05,2.03,1.81,-0.64,-0.72,-0.13,0.82,0.6,2.15,-0.02,0.56,-0.92,0.96,1.3,-1.12,-0.09,1.08,-0.63,-0.23
CFDP1,-0.17,-0.19,-0.09,-0.07,0.16,-0.3,-0.15,-0.07,-0.34,-0.13,-0.19,-0.13,-0.02,-0.25,-0.22,-0.02,-0.05,-0.18,-0.14
CFH,-0.91,-0.63,-0.29,-0.31,0.44,-0.04,-0.11,-0.34,-0.12,-0.26,0.3,-0.09,-0.21,0.08,0.4,-0.54,0.37,-0.46,0.17
CFHR1,-0.17,1.13,0.37,-0.27,0.69,0.96,0.26,0.15,0.87,-0.28,2.01,1.14,0.56,0.28,0.74,0.14,-0.05,0.43,-0.39
CFHR2,-0.01,0.83,0.68,-0.14,-0.07,-0.08,0.18,0.2,0.57,0.09,1.29,0.41,0.09,-0.14,-0.23,0.16,0.29,-0.14,0.59
CFHR3,-1.01,-0.3,0.89,-1.32,-0.12,0,0.5,-0.25,1.25,-0.04,2.29,0.2,0.72,0.51,1.7,0.89,0.84,-0.57,-0.51
CFHR5,1.04,-0.36,0.85,1.15,0.43,0.79,-0.52,0.14,-0.69,0.52,0.91,1.28,-0.75,0.99,0.14,0.33,0.12,0.58,-0.15
CFI,-0.58,-0.69,-0.72,-0.27,0.4,0.16,0.06,-0.37,0.11,-0.15,0.2,0.32,0.07,0.11,0.43,-0.27,0.57,-0.54,0.05
CFL1,-0.3,-0.46,-0.27,0.04,0.24,-0.38,-0.25,-0.2,-0.21,-0.29,-0.09,0.18,-0.34,-0.13,-0.1,-0.16,-0.36,-0.38,0.24
CFL2,0.52,0.12,-0.09,0.33,-0.03,0.31,0.39,0.46,0.41,0.37,0.39,0.2,0.23,0.17,0.4,0.38,0.24,0.56,-0.29
CFLAR,NA,-0.52,-0.53,-0.62,-0.96,0.02,0.12,-0.44,NA,NA,-0.71,-0.59,-0.73,-0.12,-0.57,-0.3,-0.53,0.11,0.32
CFP,-0.67,-0.05,0.21,-0.21,0.38,0.05,0.25,-0.35,0.22,0.38,0.54,0.45,0.47,-0.23,0.44,-0.44,0.87,-0.46,0.7
CFTR,0.07,0.18,0.43,0.03,-0.03,-0.24,-0.53,0.09,-0.12,-2.95,0.75,-0.26,-0.45,-0.1,-0.35,0.12,-0.41,-0.11,-0.15
CGGBP1,-0.26,-0.2,0.1,0.08,0.2,0.07,0.2,-0.13,-0.03,-0.06,0.09,0.39,-0.28,-0.14,0.1,-0.04,0,0.01,0.53
CGN,0.41,0.6,0.34,0.08,0.74,0.45,0.47,0.7,0.41,0.29,0.42,0.62,0.66,0.4,0.8,0.61,0.51,0.45,0.35
CGNL1,0.73,0.88,0.56,0.29,-0.42,0.5,0.79,0.91,0.35,0.44,0.42,-0.19,0.6,0.16,0.48,0.7,0.59,0.72,-0.49
CHAD,1.09,2.6,0.74,-0.22,NA,NA,NA,0.46,2.99,0.5,0.21,NA,0.41,1.75,NA,0.45,NA,NA,0.73
CHAMP1,-0.21,0.08,-0.23,-0.09,0.23,0.06,0.05,-0.08,-0.13,0.07,0.04,0.38,-0.1,0,0.13,-0.13,-0.19,0.19,0.29
CHCHD1,0.53,0.78,0.01,0.26,-0.58,0.86,0.76,0.63,0.42,-0.04,-0.13,-0.52,0.27,0.29,-0.14,0.51,0.47,0.99,-0.56
CHCHD10,0.49,0.32,-0.51,0.02,-0.57,-0.08,0.11,0.5,0.57,0.15,-0.06,-0.79,0.13,-0.17,0.1,0.2,0.03,0.11,-0.74
CHCHD2,0.4,0.34,0.09,-0.11,-0.2,0.56,0.09,0.48,0.44,0.22,0.58,-0.19,0.42,0.11,0.34,0.65,-0.08,0.43,-0.35
CHCHD3,0.8,0.69,0.52,0.36,0.13,0.77,0.66,0.9,0.71,0.48,0.29,-0.05,0.57,0.48,0.81,0.79,0.56,0.82,-0.24
CHCHD4,0.98,0.76,0.34,0.15,-0.09,0.94,0.71,1.15,0.59,0.09,0.43,-0.64,0.85,0.48,0.34,0.09,0.62,1.15,-0.8
CHCHD5,0.39,0.22,0.44,0.54,0.07,0.35,-0.05,0.77,0.22,0.08,0.13,-0.01,0.43,0.04,0.29,0.5,0.5,0.63,-0.57
CHCHD6,0.57,0.94,0.47,-0.08,0.21,0.32,0.37,0.48,0.67,0.25,0.16,0.14,0.57,0.35,0.5,0.43,0.41,0.47,-0.19
CHCHD7,0.25,0.46,-0.05,0.22,0.07,0.02,0,0.23,0.61,0.28,-0.11,-0.29,0.18,0.22,-0.17,0.12,0.15,-0.16,-0.18
CHD1,-0.33,-0.17,-0.06,-0.28,-0.47,-0.14,0.02,-0.19,0.04,0.05,0.14,0.1,0.11,-0.11,0.04,-0.39,-0.49,-0.09,-0.07
CHD1L,-0.52,-0.11,-0.99,-0.28,0.16,-0.03,-0.08,-0.17,-0.36,-0.29,-0.09,-0.15,-0.37,-0.09,0.19,-0.16,0.06,-0.36,0.29
CHD2,-0.12,-0.1,-0.19,0.15,0.07,-0.14,-0.09,0.14,-0.24,-0.16,-0.05,0.22,-0.21,-0.17,-0.08,0.04,-0.15,-0.07,0.16
CHD3,0.27,0.12,0.48,0.39,0.22,0.2,0.22,0.08,0.42,0.32,0.12,0.61,0.02,0.23,0.84,-0.1,0.1,0.2,0.9
CHD4,-0.11,-0.01,0,0.03,0.29,-0.11,0.04,-0.16,-0.1,-0.09,0.17,0.32,-0.06,-0.05,0.09,0,-0.18,-0.09,0.4
CHD8,0.7,0.04,0.06,-0.47,0.14,0.04,0.29,-0.27,0.32,0.58,-0.14,0.47,0.26,0.32,0.22,-0.1,-0.25,-0.18,0.65
CHD9,NA,NA,-0.76,0.29,NA,NA,NA,0.84,NA,NA,-0.59,0.48,-0.5,NA,-0.38,0.43,NA,NA,NA
CHDH,1.14,1.3,0.98,0.61,-0.34,0.89,0.91,1.3,0.61,0.76,0.23,-1.06,1.09,0.59,0.12,0.62,1,1.39,-1.35
CHERP,-0.21,0.03,-0.23,-0.06,0.05,-0.1,-0.01,-0.06,-0.05,-0.1,-0.07,0.32,-0.2,-0.03,0.08,0.01,-0.19,-0.18,0.14
CHI3L1,-0.59,-0.02,1.76,-0.45,-0.91,0.34,-0.04,-0.52,-1.2,-0.97,0.22,NA,0.11,-0.58,NA,0.9,0.28,0.18,-1.6
CHID1,0.44,0.58,0.35,0.46,0.33,0.34,0.29,0.35,0.1,0.14,0.29,0,0.37,0.34,-0.04,0.34,0.14,0.35,0.36
CHIT1,1.82,-0.18,0.63,0.66,-2.21,0.37,0.23,-1.21,0.43,0.04,-0.54,-1.95,0.53,1.43,0.22,1.46,0.66,-0.59,-0.72
CHKA,-0.54,0.02,-0.37,-0.51,0.08,NA,NA,0.04,-0.51,-0.29,-0.37,-0.32,-0.43,-0.2,0.53,-0.38,0.42,NA,-0.19
CHKB,-0.07,-0.06,-0.23,-0.02,0.21,0.01,0.08,-0.08,-0.01,-0.09,0.01,0.31,-0.26,-0.22,-0.05,-0.24,0.12,-0.14,0.2
CHL1,0.36,0.96,0.94,0.43,-0.13,1.23,0.49,0.67,0.58,0.6,0.25,0.7,0.64,0.66,0.11,0.98,1.26,0.65,-0.03
CHM,-0.18,-0.26,-0.24,-0.14,-0.5,-0.2,0.02,-0.03,-0.18,0.13,-0.1,-0.12,-0.12,-0.27,0.02,-0.07,-0.26,-0.09,-0.32
CHMP1A,-0.13,-0.06,-0.14,-0.06,0.08,0.19,-0.03,-0.31,-0.16,-0.25,0.25,0.24,0.01,0,0.13,0.09,0.06,0.05,-0.05
CHMP1B,-0.02,-0.06,-0.2,0.02,0.16,-0.02,0.04,-0.36,0.27,0.3,1.05,1.12,-0.04,0.96,0.14,-0.02,-0.14,0.02,0.64
CHMP2A,0.23,0.1,-0.04,0.18,0.02,-0.07,0.09,0.14,0.29,0,1,0.62,0.23,0.45,-0.15,0.08,0.15,0.11,0.16
CHMP2B,-0.07,0.09,-0.09,0.77,0.15,0.04,0.14,0.4,0.16,0.04,0.93,0.59,-0.11,0.22,0.14,0.66,0.06,0.18,0.22
CHMP3,0.04,0.02,0.05,0.44,0.16,0.01,0.16,0.19,0.02,0.14,0.35,0.51,0.11,-0.07,0.06,0.29,-0.04,0.22,0.08
CHMP4A,-0.4,-0.2,-0.59,-0.25,-0.06,-0.18,-0.34,-0.73,-0.52,-0.31,-0.09,0.1,-0.57,-0.13,-0.22,-0.49,-0.3,-0.22,0.06
CHMP4B,-0.01,-0.24,-0.22,-0.13,0.18,-0.15,-0.09,-0.16,-0.02,0.04,0.14,0,-0.19,-0.17,0.06,-0.13,-0.18,-0.19,-0.01
CHMP4C,-0.15,-0.06,-0.35,-0.14,-1.2,-0.33,0,0.07,-0.17,-0.17,0.24,0.06,-0.06,0.06,0.09,-0.1,-1.7,0,-0.31
CHMP5,0.02,-0.01,-0.03,0.14,-0.14,-0.04,0.17,0.06,0.02,0.11,0.36,0.21,0.12,0.4,-0.04,0.13,0.09,0.11,0.1
CHMP6,0.29,0.17,0.3,0.16,-0.18,0.3,0.19,0.19,0,0.04,0.02,-0.19,0.32,0.2,0.05,0.14,0.38,0.46,-0.11
CHMP7,-0.03,-0.04,-0.04,0.05,0.01,0.04,0.06,0.02,0.15,0,-0.1,0.07,-0.01,-0.03,-0.05,0.04,0.04,0.09,-0.03
CHN2,0.35,NA,0.04,-0.35,-0.46,NA,NA,-0.22,0.05,0.03,-0.33,-0.88,0.19,NA,-0.17,-0.32,0.1,NA,NA
CHORDC1,0.2,0.14,-0.04,0.33,0.07,-0.07,0.05,0.08,0.18,0.08,0.06,0.08,0.12,-0.05,0.01,-0.05,-0.02,0.06,0.16
CHP1,1.26,1.02,0.86,0.86,0.03,0.99,0.78,1.04,0.67,0.31,0.34,-0.39,0.93,0.86,0.32,0.84,0.9,1.05,-0.25
CHPF,0.07,-0.35,-0.57,-0.5,-0.43,NA,NA,-0.47,-0.3,-0.61,-0.67,-0.31,-0.55,-0.35,-0.32,-0.46,-0.52,NA,0.41
CHPF2,NA,-0.74,-0.81,NA,0.15,NA,NA,NA,NA,NA,-0.44,-0.13,-1.24,-0.77,-0.26,NA,-0.07,NA,-0.18
CHRAC1,NA,-0.66,-0.53,NA,-0.29,-0.57,-0.22,NA,NA,NA,-0.35,-0.31,-0.6,-0.57,-0.12,NA,-0.78,-0.38,-0.04
CHRDL1,0.09,0.93,NA,NA,0.77,NA,NA,NA,0.16,-0.15,NA,-0.09,NA,1.23,0,NA,0.96,NA,0.07
CHSY1,0.02,-0.74,0.49,-0.49,0.41,0.61,0.5,-1.09,0.82,0.21,0.25,0.69,-0.01,-0.66,-0.05,-0.92,-0.19,0.61,0.11
CHTOP,-0.66,-0.47,0,0.14,-0.14,-0.44,-0.77,-0.62,0.01,-0.09,0.22,1.32,-0.04,-0.3,0.01,-0.05,0.18,-0.47,0.02
CHUK,0.1,-0.1,0.05,0.08,-0.07,0.25,0.3,-0.05,0.12,0.26,0.01,-0.11,-0.06,-0.07,0.1,0.08,0.18,0.14,-0.03
CHURC1-FNTB,-0.1,0.05,-0.02,0.08,0.23,0.03,0.21,0.06,-0.07,0.13,0.01,0.11,0.12,-0.04,0.07,0.22,-0.01,-0.06,0.27
CIAO1,-0.19,0.03,-0.18,-0.12,-0.18,-0.17,-0.29,-0.17,-0.17,-0.25,-0.18,-0.16,-0.12,-0.1,-0.04,-0.02,-0.02,-0.12,-0.43
CIAO2A,-0.15,0.19,-0.23,-0.37,-0.18,-0.16,-0.16,-0.29,-0.12,-0.43,-0.33,-0.23,-0.13,-0.06,-0.18,-0.32,-0.19,-0.2,-0.52
CIAO2B,-0.22,-0.75,-0.45,-0.75,-0.33,-0.12,-0.17,-0.31,-0.27,-0.67,-0.4,-0.52,-0.32,-0.59,-0.04,-0.56,-0.01,-0.36,-0.29
CIAO3,0.25,0.2,0.05,-0.19,-0.17,0.26,0.18,-0.06,0.04,0.13,-0.13,-0.29,0.14,0.09,0,0.14,-0.01,0.2,-0.21
CIAPIN1,0.13,0.06,-0.09,-0.07,-0.2,0.15,0.2,0.08,0.22,-0.07,-0.08,0.03,0.04,-0.01,0.11,0.14,-0.03,0.13,-0.08
CIB1,0.16,0.44,0.37,0.05,0.37,0.15,0.04,0.16,0.05,-0.35,0.12,0.04,0.51,0.39,0.45,0.35,0.32,0.15,0.14
CIC,-0.35,0.01,-0.12,-0.03,-0.17,0.11,-0.06,-0.12,-0.4,-0.23,-0.19,0.34,-0.3,0.06,-0.19,-0.1,-0.48,0,0.5
CINP,-0.17,0.12,0.07,-0.04,-0.08,0.13,0.26,0.03,0.12,-0.24,-0.01,0.14,-0.06,-0.09,-0.3,-0.03,0.03,0.11,-0.23
CIR1,-0.26,-0.09,-0.22,-0.01,0.29,-0.07,-0.23,-0.27,-0.1,0.16,0.11,0.25,-0.25,0.03,0.03,-0.08,-0.35,-0.23,0.1
CIRBP,0.1,0.19,0.31,0.4,0.96,0.44,0.31,0.53,-0.09,0.01,0.79,0.8,0.75,0.33,0.52,0.8,0.36,0.67,0.62
CISD1,0.67,0.75,0.6,0.14,-0.12,0.73,0.56,0.57,0.53,0.42,0.19,-0.62,0.71,0.66,0.35,0.39,0.7,0.72,-0.41
CISD2,0.57,0.24,0.31,0.12,0.37,0.23,0.06,0.45,-0.11,0.01,-0.58,-0.41,0.12,0.38,-0.04,0.33,0.41,0.1,-0.38
CISD3,0.92,1.09,0.93,0.79,-0.65,0.93,0.71,1.1,0.8,0.67,0.21,-0.6,1.16,0.6,0.45,0.89,0.76,1.05,-0.69
CIZ1,-0.83,0.02,-0.19,-0.28,-0.02,-0.38,-0.29,-0.08,-0.46,-0.32,0.35,0.77,-0.09,0.15,0.03,-0.18,-1.38,-0.38,0.4
CKAP4,-0.27,-0.33,0.01,0.22,0.32,-0.32,-0.22,-0.34,-0.13,-0.1,-0.3,0.31,-0.16,0.09,-0.19,-0.22,-0.01,-0.11,0.49
CKAP5,-0.1,-0.05,0.07,-0.06,-0.05,-0.14,-0.06,-0.08,-0.02,0.02,0.02,0.1,-0.11,-0.07,0.05,0.02,-0.11,-0.12,0.17
CKB,-0.02,-0.25,-0.13,-0.45,-0.18,-0.12,0.27,0.14,0.49,-0.09,0.38,0.13,-0.15,-0.02,0.49,-0.02,-0.43,-0.21,-0.21
CKM,NA,-0.43,NA,-1.3,NA,-0.93,1.09,1.19,NA,NA,NA,-1.1,NA,0.11,1.16,-0.01,NA,1.37,-0.56
CKMT1A,0.17,0.18,0.34,0.33,-0.23,0.08,-0.18,-0.1,0.91,-0.24,0.46,0.04,0.15,0.2,-0.21,0.29,0.03,-0.06,-0.27
CKMT2,-0.37,-0.32,0.39,0.23,-0.38,-0.37,-0.48,0.27,0.57,-0.42,0.28,0.03,0.22,-0.27,0.23,0.12,0.11,0.04,-0.41
CLASP1,0.04,-0.1,-0.16,-0.19,0.08,-0.11,0.06,0.01,0.05,-0.06,-0.13,-0.01,-0.1,-0.07,0.19,0.03,-0.11,-0.2,0.09
CLASP2,0.33,0.36,0.31,0.17,0.06,0.36,0.34,0.29,0.33,0.22,0.11,0.31,0.33,0.29,0.27,0.35,0.2,0.34,0.06
CLASRP,-0.13,0.21,0.1,0.14,-0.1,-0.22,-0.04,0.07,-0.08,0.12,0.34,0.46,0.24,0.02,0.29,0.14,-0.66,-0.13,0.36
CLC,0.2,-0.8,0.06,0.13,1.91,-0.02,-0.28,-0.18,0.67,1.16,1.23,-1.13,-1.16,-0.34,-0.02,-0.13,0.06,-0.32,1.81
CLCA4,NA,-0.58,NA,NA,NA,0.58,0.01,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,NA,-0.02,-0.38
CLCC1,0,-0.26,0.01,-0.2,-0.14,0.07,-0.05,-0.03,-0.56,-0.31,-1.07,-0.13,-0.13,-0.18,-0.36,-0.19,-0.08,0.18,-0.04
CLCN3,0.15,0.08,0.08,-0.11,0.45,0.1,0.2,-0.24,0.2,0.1,0.18,0.02,0.19,0.06,0.13,0.08,-0.05,-0.04,-0.17
CLCN5,0.8,0.62,0.72,0.39,0.12,1.13,0.86,0.7,0.73,0.86,0.2,-0.33,0.64,0.74,0.18,0.67,0.34,0.92,-0.28
CLCN6,-0.11,NA,-0.52,-0.46,-0.76,NA,NA,-0.22,-0.06,-0.14,-1.18,-0.62,-0.83,NA,-0.61,-0.49,-0.47,NA,NA
CLCN7,0.21,-0.03,0.34,0.21,0.13,0.82,0.38,0.03,0.23,0.04,-0.02,0.09,0.43,0.01,0.24,0.07,0.28,0.61,-0.22
CLCNKB,0.93,0.93,0.67,-0.23,-0.41,0.67,0.96,0.6,0.54,0.35,0.09,-0.64,0.08,0.59,1.08,0.2,-0.15,0.67,-0.28
CLDN2,0.7,1.4,0.63,0.68,1.15,1.31,0.61,0.88,0.34,0.73,0.21,-0.88,0.93,1.16,-0.25,0.83,1.96,0.61,-0.72
CLDN23,NA,0.47,0.52,0.34,-0.71,NA,NA,0.81,NA,NA,0.54,NA,1.34,0.61,NA,0.75,-0.08,NA,-0.33
CLDN3,0.09,0.34,0.5,0.88,0.74,-0.05,0.61,0.53,0.4,0.21,0.42,1.46,0.09,0.65,0.72,0.94,0.18,0.07,0.81
CLEC11A,-0.74,0.21,-0.13,-0.38,1.19,-0.07,0.11,-0.08,-0.37,0.05,0.29,0.52,0.06,-0.17,1.03,0.16,-0.38,-0.37,1.48
CLEC14A,NA,-0.47,-0.03,-0.76,-0.67,-0.08,-0.32,-0.33,NA,NA,-0.5,-0.57,0.32,-0.09,-0.47,-1.36,0.08,-0.4,0.63
CLEC16A,0.02,-0.26,-0.25,-0.12,0.19,0.39,0.42,-0.04,0.17,0.21,0.15,0.13,-0.18,-0.05,0.42,0.04,0.03,0.55,0.13
CLEC18A,0.7,0.82,0.98,0.1,-1,1.32,0.84,0.77,0.26,0.87,-0.02,-0.61,0.86,0.47,-0.64,0.83,1.18,0.68,-1.64
CLEC3B,0.03,0.26,0.11,-0.15,0.18,0.15,0.08,0.03,0.22,0.21,0.65,0.77,0.25,0.27,-0.64,-0.14,0.24,-0.15,0.7
CLGN,-0.26,-0.33,-0.2,-0.08,-0.49,-0.4,-0.85,-0.63,-0.54,-0.62,-0.43,-0.42,-0.23,-0.2,-0.47,-0.36,-0.06,-0.69,-0.31
