"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_001106963.1:s30","SEPTIN9 s30","SEPTIN9","NaN","0.01","0.72","NaN","NaN","0.73","-0.72","-0.83","-0.12","-1.41","NaN","0.12","NaN","-1.18","NaN","-0.37","-0.01","NaN","0.71","NaN","-0.46","NaN","NaN","NaN","NaN","-0.77","NaN","0.13","-0.03","1.07","-2.02","-0.24","0.82","-0.1","-0.05","NaN","-0.48","-0.55","-0.73","0.53","-0.56","0.24","NaN","NaN","NaN","0.11","0.35","-2.37","-0.03","NaN","-0.14","-0.06","1.2","-0.53","NaN","NaN","0.22","-0.96","-0.77","0.31","0.4","0.49","-1.64","NaN","NaN","NaN","-0.24","NaN","-0.39","NaN","-0.91","-0.03","0.59","0.1","NaN","-0.77","NaN","0.63","-0.18","-0.16","-0.28","0.19","-0.8","0.39","-0.61","0.36","0.13"
"NP_001106985.1:s340","ARHGEF7 s340","ARHGEF7","0.53","-0.33","0.33","-0.14","-0.01","-0.13","0.38","-0.37","0.13","-0.92","0.48","-0.3","-0.33","0.39","0.01","-0.2","-0.07","-0.58","0.3","0.57","-0.37","-0.74","0.21","0.03","-0.07","0.07","-1.6","0.05","-0.25","0.11","-1.06","0.25","-1.16","0.03","-0.25","-0.18","0.37","-0.57","0.42","0.29","0.06","0.05","-2.36","0.35","-0.72","0.15","-0.08","-0.43","-0.03","0.07","-0.15","-0.88","0.26","0.22","-0.38","-0.42","0.55","0.03","0.11","0.06","0.64","0.18","-1.18","0.37","-0.12","0.05","0.18","-0.31","-0.14","0.05","-0.04","0.25","0.06","0.07","0.11","-0.78","0.2","-0.8","0.39","-0.12","-0.41","0.21","-0.11","0.46","-0.19","0.32","0.21"
"NP_001106985.1:s516","ARHGEF7 s516","ARHGEF7","NaN","-2.13","0.39","-0.01","NaN","-0.14","-1.97","-0.79","0.21","-0.53","0.32","0.44","0.35","-0.72","NaN","0.43","-0.56","NaN","-0.6","NaN","-0.01","-0.4","NaN","0.84","0.39","0.58","-0.73","0.08","-0.37","-0.97","-0.6","-0.2","-1.54","-0.72","-0.23","-0.15","-0.42","0.48","0.29","0.08","0.17","0.38","-0.83","-0.09","-2.35","-0.09","-0.22","-0.09","-0.18","0","0.55","0.1","0.07","0.25","0.34","-0.01","0.38","0.52","-0.91","1.06","-0.26","-0.49","-0.83","0.33","-0.15","NaN","0.42","-0.05","-0.18","NaN","0.3","1.01","0.32","0.11","NaN","-0.4","0.46","-0.74","-0.11","-0.2","-0.52","0.04","-0.22","0.32","-0.19","0.49","0.66"
"NP_001106985.1:s560","ARHGEF7 s560","ARHGEF7","-0.46","-1.21","0.66","0.87","0.4","-0.07","-2.45","-1.76","-0.83","-0.42","0.44","0.48","NaN","-1.98","-1.33","-0.05","-1.09","-0.04","-0.12","0.37","-0.44","NaN","-0.47","-0.54","NaN","1.08","NaN","-0.84","-0.19","-2.37","-3.59","1.1","-0.96","0.5","0.73","-0.69","-1.35","0.26","0.38","-0.85","0.62","-0.2","NaN","0.28","-2.87","-0.15","0.58","-1.23","0.18","NaN","0.52","-0.42","-0.29","0.18","NaN","-0.81","0.35","1.11","-1.41","0.95","0.29","0.37","0.03","0.41","-0.22","0.15","-0.73","NaN","-0.4","0.61","-0.28","1.05","0.41","-0.57","0.68","0.31","NaN","-1.39","-1.17","0.27","-0.35","0.92","-0.32","-1.37","-1.32","1.38","0.95"
"NP_001107018.1:s132","LIMA1 s132","LIMA1","NaN","-0.42","1.05","-0.43","NaN","-0.05","-1.56","-0.23","NaN","-0.57","-0.93","-0.06","0.03","-0.47","NaN","-0.93","-0.86","NaN","0.37","NaN","0.42","-1.31","NaN","0.01","0.05","NaN","-0.92","0.58","-0.09","0.59","-1.46","-0.04","0.99","-0.18","-0.46","0.3","-0.1","0.05","0.16","-0.43","0.73","NaN","-1.47","-1.43","-2.45","-0.04","-0.11","NaN","-0.28","-0.52","NaN","NaN","0.96","0.14","-0.03","-0.8","-0.51","-0.95","-0.83","0.74","-0.22","-0.1","-1.28","-0.97","-1.04","NaN","NaN","-0.27","2.01","NaN","-0.26","0.4","0.2","0.12","NaN","NaN","0.24","-0.15","0.04","-0.18","-0.16","0.29","-0.33","1.18","-0.58","-0.29","-0.37"
"NP_001107018.1:s618","LIMA1 s618","LIMA1","NaN","NaN","NaN","0.66","NaN","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.01","-2.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.17","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001107018.1:s699","LIMA1 s699","LIMA1","0.57","NaN","0.26","-0.1","1.09","0.04","NaN","NaN","NaN","-0.17","-0.09","NaN","-0.32","NaN","-0.22","NaN","NaN","-0.37","NaN","0.6","-0.28","-0.52","-0.5","-0.33","-0.27","NaN","-0.65","NaN","-1.76","0.06","NaN","NaN","NaN","NaN","NaN","-0.28","0.45","-0.57","-0.5","NaN","0.71","NaN","-1.87","-0.11","-2.04","0.05","-0.67","NaN","-0.33","-0.35","NaN","NaN","-0.15","-1.29","-0.57","-0.03","NaN","-0.11","NaN","0.69","-0.32","-0.25","NaN","-0.23","-0.91","-0.13","NaN","-0.46","2.71","0.22","NaN","-0.55","NaN","NaN","-0.4","NaN","0.17","-1.24","0.12","-0.1","-0.62","0.38","-0.82","-0.38","NaN","NaN","NaN"
"NP_001107018.1:s742","LIMA1 s742","LIMA1","NaN","NaN","NaN","NaN","NaN","NaN","-1.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.74","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.6","NaN","-0.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.33"
"NP_001107018.1:t608","LIMA1 t608","LIMA1","NaN","NaN","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.6","NaN","NaN","-0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.4","NaN","NaN","-0.62","-0.87","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.2","-0.46","-0.2","NaN","NaN","NaN","NaN"
"NP_001107565.1:s216","LSM14A s216","LSM14A","NaN","-0.74","0.49","0.06","NaN","-0.29","NaN","NaN","NaN","-0.57","-0.61","-0.89","NaN","0.1","NaN","NaN","-0.65","NaN","NaN","NaN","-0.52","NaN","NaN","-0.11","NaN","NaN","NaN","NaN","-0.72","0.99","NaN","NaN","NaN","-0.24","-0.35","0.57","0.26","-0.76","0.37","NaN","0.37","NaN","NaN","-0.81","-0.9","-0.36","-0.53","NaN","-0.92","NaN","NaN","NaN","0.37","0.05","NaN","0.76","NaN","-0.85","NaN","0.75","0.32","-0.21","NaN","0.1","-1.14","NaN","NaN","NaN","-0.09","NaN","NaN","-0.5","-0.77","NaN","NaN","NaN","NaN","-0.18","-0.4","-0.24","0.92","-0.5","-0.67","-0.6","0.34","NaN","NaN"
"NP_001110.2:s358","ADD1 s358","ADD1","NaN","NaN","NaN","0.31","NaN","NaN","NaN","NaN","NaN","NaN","0.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.23","-1.95","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.45","0.54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001110.2:s586","ADD1 s586","ADD1","NaN","NaN","0.49","NaN","NaN","NaN","-0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.18","NaN","NaN","1.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.01","NaN","NaN","NaN","NaN","NaN","-0.15","NaN","NaN","-0.23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.1","-3.37","-1.43","NaN","-0.25","-1.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.73","0.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.51","-0.26","-1.15","NaN","NaN","NaN","-0.53"
"NP_001116293.1:s7","SET s7","SET","NaN","NaN","-0.69","NaN","NaN","-0.74","NaN","NaN","NaN","-0.36","NaN","NaN","1.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.13","0","NaN","NaN","0.57","NaN","-0.57","NaN","-1.42","-1.09","NaN","NaN","NaN","NaN","NaN","NaN","0.5","-1.71","-0.96","NaN","-0.3","NaN","-0.69","NaN","NaN","-0.33","-1.87","NaN","-0.67","-0.56","NaN","NaN","1.37","-1.81","-0.2","NaN","NaN","-0.15","NaN","-0.2","0.05","-0.72","NaN","NaN","NaN","NaN","NaN","-1.48","-0.75","NaN","NaN","-0.15","NaN","NaN","NaN","NaN","-0.24","0.11","0.02","-1.02","0.57","-0.5","-0.17","0.34","NaN","NaN","NaN"
"NP_001119522.1:s181","HDGF s181","HDGF","NaN","NaN","NaN","-1.35","NaN","NaN","NaN","NaN","NaN","NaN","-1.25","NaN","0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.76","NaN","0.43","0.1","NaN","0.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.38","NaN","NaN","NaN","NaN","NaN","NaN","-0.41","-0.59","0","NaN","NaN","NaN","NaN","-0.05","NaN","NaN","NaN","NaN","0.98","1.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.2","-1.32","NaN","NaN","-2.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001120683.1:t537","SHTN1 t537","SHTN1","NaN","NaN","NaN","0.48","NaN","-0.66","-0.19","NaN","NaN","-0.72","-0.44","NaN","NaN","NaN","NaN","-0.57","NaN","NaN","0.63","NaN","-1.12","NaN","NaN","0.88","NaN","NaN","NaN","3.16","-1.97","0.02","NaN","NaN","NaN","NaN","NaN","-0.26","-0.24","0.08","-1.42","0.08","0.26","NaN","NaN","0.2","0.08","NaN","-0.73","NaN","NaN","NaN","NaN","NaN","-1.26","-0.36","NaN","2.21","-0.41","NaN","-1.33","-0.05","NaN","NaN","NaN","0.49","-0.35","NaN","NaN","NaN","-0.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.77","-1.07","NaN","NaN","NaN","-0.51","NaN","NaN","-0.36"
"NP_001120965.1:s869","ANK2 s869","ANK2","NaN","NaN","0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.65","NaN","NaN","0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.45","NaN","NaN","-1.34","0.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.8","0.17","-1.14","NaN","NaN","NaN","NaN"
"NP_001122092.1:s204","PAK1 s204","PAK1","NaN","NaN","NaN","-0.84","NaN","NaN","NaN","NaN","NaN","NaN","-1.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","-0.76","NaN","NaN","NaN","NaN","0.53","NaN","NaN","NaN","NaN","NaN","NaN","-0.55","NaN","NaN","-0.25","NaN","NaN","NaN","NaN","-1.62","-2.8","NaN","-0.71","NaN","NaN","NaN","NaN","NaN","0.44","-0.01","NaN","0.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.33","-0.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.89","NaN","-0.01","NaN","NaN","NaN","-0.81","NaN","NaN","NaN"
"NP_001122092.1:t212","PAK1 t212","PAK1","NaN","NaN","NaN","NaN","NaN","-0.27","-2.1","-1.24","NaN","0.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.24","NaN","0.2","NaN","NaN","NaN","NaN","NaN","NaN","2.3","-1.24","-1.33","-0.77","0.07","0.49","NaN","NaN","NaN","-1.49","-0.94","-0.17","0.18","-0.43","NaN","NaN","NaN","NaN","NaN","-0.42","NaN","NaN","NaN","NaN","NaN","-0.94","-0.29","NaN","NaN","-1.2","NaN","-0.98","0.5","NaN","NaN","-1.35","NaN","NaN","NaN","NaN","NaN","-0.66","NaN","-1.42","NaN","NaN","0.51","NaN","NaN","NaN","-1.42","-0.07","-1.62","NaN","NaN","NaN","-0.85","NaN","-0.1","NaN"
"NP_001122405.1:s274","SYNPO2 s274","SYNPO2","NaN","NaN","0.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.66","NaN","NaN","-0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.34","NaN","NaN","-1.6","0.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.45","-1.05","-0.85","NaN","NaN","NaN","NaN"
"NP_001123525.2:s528","EEF1D s528","EEF1D","0.55","NaN","-0.02","-0.03","0.75","NaN","-0.17","-0.1","-0.07","NaN","-0.41","NaN","NaN","NaN","-0.1","-0.93","NaN","-0.15","0.75","0.28","NaN","NaN","0.27","-0.78","NaN","0.02","NaN","0.33","NaN","NaN","-0.73","-0.34","0.93","NaN","NaN","0.3","NaN","NaN","NaN","-0.12","NaN","0.03","NaN","-0.28","-2.95","-0.31","NaN","-0.25","-0.71","NaN","0.27","-1.08","NaN","NaN","NaN","0.61","0.61","-0.01","0.04","NaN","0.2","-0.53","-1.31","0.22","-0.46","-0.82","0.15","NaN","NaN","0.09","-0.12","0.81","NaN","-0.14","0.09","-1.01","NaN","NaN","NaN","NaN","-0.18","-0.14","0.41","NaN","NaN","0.17","0.25"
"NP_001123525.2:t513s528","EEF1D t513s528","EEF1D","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.07","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.14","NaN","NaN","0.33","-0.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.51","-0.64","0.61","NaN","NaN","NaN","NaN"
"NP_001123537.1:s1267","MYO9B s1267","MYO9B","NaN","NaN","NaN","NaN","NaN","NaN","-0.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.58","NaN","NaN","0.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.71","NaN","-0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.15"
"NP_001123537.1:s1992","MYO9B s1992","MYO9B","NaN","NaN","NaN","-0.37","NaN","NaN","NaN","-0.24","0.77","NaN","0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.36","NaN","NaN","-0.07","NaN","-0.26","NaN","NaN","-1.52","NaN","-1.88","-0.03","-0.93","NaN","NaN","-0.2","NaN","NaN","0.31","NaN","NaN","-0.21","NaN","0.9","0.14","NaN","0.74","-0.67","NaN","NaN","0.19","-0.35","0.24","-0.07","NaN","-0.12","NaN","NaN","NaN","NaN","NaN","NaN","-0.64","-0.54","-0.54","NaN","1.15","NaN","NaN","NaN","NaN","NaN","NaN","0.06","NaN","-0.75","NaN","-1.09","NaN","-0.01","NaN","NaN","NaN","0.72","NaN","0.33","NaN"
"NP_001123537.1:t1346","MYO9B t1346","MYO9B","NaN","NaN","NaN","0.19","NaN","-0.12","NaN","NaN","NaN","-0.12","-0.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.37","NaN","NaN","NaN","NaN","NaN","0.27","NaN","NaN","NaN","NaN","NaN","-0.16","-0.13","0.89","NaN","NaN","0.25","NaN","NaN","-0.06","-3.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.54","NaN","NaN","NaN","1.57","NaN","NaN","NaN","-0.09","-1.15","NaN","NaN","NaN","-0.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001123892.1:s347","SMARCC2 s347","SMARCC2","NaN","-0.85","0.27","0.08","NaN","-0.64","-0.41","-0.07","-0.17","-0.87","-0.12","-0.1","NaN","-0.43","NaN","0.08","-1.17","NaN","0.31","NaN","-0.59","NaN","NaN","-1.61","NaN","0.48","NaN","0.92","0.26","0.01","-0.85","0.61","0.72","-0.19","-0.62","-0.24","-0.67","-0.19","0.18","0.28","0.31","0.6","NaN","-0.51","-3.38","-0.19","-0.45","0.08","0.18","NaN","0.24","0.37","-0.77","-0.03","NaN","0.29","0.77","-0.47","0.21","0.38","-0.42","0.01","-1.4","0.17","-0.13","NaN","0.34","NaN","-1.01","NaN","-0.3","0.25","0.46","-0.51","NaN","0.1","NaN","-0.87","0.73","-0.34","0.02","-0.35","-0.19","-0.11","0.08","0.59","0.81"
"NP_001123910.1:s1031","SPTAN1 s1031","SPTAN1","NaN","NaN","0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.27","NaN","NaN","-0.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.63","NaN","NaN","0.09","1.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.25","0.14","-0.62","NaN","NaN","NaN","NaN"
"NP_001123910.1:s1217","SPTAN1 s1217","SPTAN1","0.43","-0.49","0.19","-0.53","0.66","-0.33","-1.35","-0.4","-0.5","-0.6","-0.22","0.57","-0.05","-1.1","0.05","-1.25","-0.72","-0.52","1.53","0.27","-0.57","-0.73","0.85","-1.33","-1.06","0.85","-0.52","0.55","0.09","-0.39","-2.13","0.28","0.17","0.06","-0.18","-1.21","-0.87","0.45","0.48","0.12","0.32","0.63","-1.92","-0.7","-3.67","1.29","-0.72","-1.11","0.45","0.17","-0.28","-0.16","-0.42","0","0.89","-1.23","1.22","-1.12","-0.79","0","-0.42","0.97","-1.36","0.08","0.45","-0.03","0.06","-1.33","0.5","-0.2","-0.56","1.27","1.06","-0.77","0.08","0.93","1.3","-1.26","-0.22","0.12","0.03","0.07","-0.09","-0.86","-1.24","-0.5","-0.09"
"NP_001123917.1:s1134","ITPRID2 s1134","ITPRID2","NaN","NaN","NaN","0.1","NaN","NaN","NaN","NaN","NaN","NaN","-0.08","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.33","-2.83","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","0.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001123917.1:s668","ITPRID2 s668","ITPRID2","NaN","NaN","NaN","-0.16","NaN","-0.44","-2.67","NaN","0.48","-0.71","-0.17","NaN","NaN","NaN","NaN","1.21","NaN","NaN","-0.02","NaN","-1.03","NaN","NaN","0.94","NaN","0.83","NaN","0.26","0.11","-0.92","NaN","NaN","NaN","NaN","NaN","-0.81","-1.26","-0.21","-0.37","-0.21","-0.02","0.51","NaN","-0.73","-3.03","NaN","0.01","-1","NaN","NaN","-0.07","-0.58","-0.46","-0.18","NaN","-0.15","0.59","NaN","-1.59","-0.02","NaN","NaN","NaN","-0.58","0.56","NaN","-0.74","NaN","1.15","NaN","-0.41","NaN","NaN","NaN","NaN","-0.62","NaN","-0.97","-0.71","-0.86","NaN","NaN","NaN","-0.21","NaN","NaN","0.34"
"NP_001123917.1:s92","ITPRID2 s92","ITPRID2","-0.58","-0.07","NaN","0","0.24","NaN","NaN","NaN","-0.37","NaN","0.31","-0.51","NaN","-1.46","-0.42","NaN","-1.06","-1.52","NaN","0.74","NaN","NaN","-0.24","1.21","NaN","1.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.74","-0.07","0.14","NaN","NaN","NaN","NaN","NaN","0.27","NaN","-0.36","-1.42","NaN","NaN","-1.76","NaN","NaN","0.68","0.52","NaN","NaN","NaN","0.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.22","0.86","-0.91","0.14","NaN","NaN","-0.67","NaN","NaN","-0.26","NaN","0.44","0.59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.24","NaN","NaN"
"NP_001123927.1:s21","DYSF s21","DYSF","NaN","NaN","NaN","NaN","NaN","0.01","NaN","NaN","NaN","0.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.32","-2.14","NaN","NaN","NaN","NaN","NaN","NaN","-0.76","-0.45","0.54","NaN","-0.66","NaN","NaN","NaN","NaN","NaN","-0.13","NaN","NaN","NaN","NaN","NaN","0.46","1.1","NaN","NaN","NaN","NaN","NaN","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.31","-1.04","0.8","NaN","NaN","NaN","0.68","NaN","NaN","NaN"
"NP_001124463.1:s567","HYOU1 s567","HYOU1","NaN","NaN","NaN","-0.01","NaN","NaN","0.57","NaN","NaN","NaN","0.28","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","-1.04","NaN","0.41","NaN","NaN","-0.38","NaN","NaN","NaN","0.2","-0.39","NaN","NaN","NaN","NaN","NaN","NaN","-1.19","NaN","NaN","1.18","-0.02","NaN","NaN","NaN","0.03","-1.03","NaN","0.72","NaN","NaN","NaN","NaN","NaN","0.94","-0.21","NaN","1.79","-0.72","NaN","-0.56","NaN","NaN","NaN","NaN","0.83","0.06","NaN","NaN","NaN","NaN","NaN","-0.59","NaN","NaN","NaN","NaN","NaN","NaN","0.55","NaN","-0.23","NaN","NaN","NaN","0.01","NaN","NaN","-2.72"
"NP_001124480.1:s316","PTPN12 s316","PTPN12","NaN","0.24","NaN","0.15","NaN","0.39","-2.28","NaN","NaN","-1.08","-0.72","0.4","-0.37","-1.04","NaN","0","-1.23","NaN","-0.08","NaN","0.1","-0.64","NaN","0.42","-0.44","NaN","-1.13","0.38","0.19","-1.48","NaN","NaN","NaN","0.45","-0.48","-0.55","-1.05","-0.16","0.4","0.09","0.77","NaN","-1.3","-0.22","-1.6","NaN","0.06","NaN","NaN","0.13","NaN","NaN","1.2","-0.31","0.68","-0.23","0.8","NaN","-1.91","-0.48","NaN","NaN","NaN","-0.03","-0.53","NaN","NaN","-1.04","0.29","NaN","-0.53","NaN","-0.17","NaN","NaN","NaN","0.81","-0.86","-0.2","0.12","NaN","NaN","NaN","-0.79","-0.52","NaN","0.5"
